D_Dbuild,D_StructureSystem_RC,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_floorTAGround,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_Y4brickwall,D_Y3brickwall,D_basintype,D_475Acc,D_I,D_Demand,D_Tx,D_Ty,D_sds,D_sd1,D_td0,D_sms,D_sm1,D_tm0,D_windows,D_patitionwall,D_nonstructure,D_CLlarge,D_CLsmall,D_MaxCl,D_NeutralDepth,D_Ra_Capacity,D_Ra_CDR,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_isR
43966898.74873902,1.0,,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,307505.82040777383,1.0,0,-146217.8877003929,2.0,3463.3376644864115,0.0,34.0,,66.0,173978.0,0.0,0.0,0.0,157608.0,,2750575.0777194127,6480.0,,0.32,1.25,0.32,0.43,4.643705797257148,0.8,0.6310980074601019,0.84,,,69933.42518417795,1.0,1.0,0.0,0.0,3,0.01,0.9,,,11.4,-219074.52580668684,1209327.0,4031.09,339.2605017919112,2924.894539650103,2800.0,1
2006.0,1.0,0.0,0.0,0,0.0,0.0,0,-56643.06337526598,,0.0,0.0,0.0,0.0,0,1.0,2.0,3853.9300654318276,644.69,,,109.0,153830.8,24.0,24000.0,64320.0,0.0,-52304.41469563065,965087.0425960771,0.0,1.0,0.26,1.25,0.26,0.31,,0.66,,0.74,,,,1.0,1.0,0.0,0.0,6,,3241136.409529061,,,,2521514.6540266154,1181160.0,3937.2,147.35759847401334,2908.481678613369,2800.0,1
1812.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,5.0,1239.3404536670544,0.0,0.0,2513.0,66.0,70000.0,0.0,25890.0,0.0,,137144.69883565663,-1721808048206.132,0.0,2.0,0.31,1.25,5305.260482457186,0.26,-108.53570718051863,,0.7363038056315768,0.63,,,,1.0,1.0,1.0,,,0.03,6.1,,,11.4,-865710.5912279431,184065.0,1554.0,74.703372213195,2628.8755885185155,2800.0,1
1914.0,1.0,0.0,0.0,,0.0,0.0,0,,0.0,0.0,-121030.87387118288,1.0,,0,0.0,1.0,1179.4531225684811,0.0,0.0,0.0,10.0,15750.0,10.0,15750.0,0.0,0.0,-105139.57619443539,1636920.853546353,0.0,2.0,,1.25,0.22,0.31,81.90147788359741,0.55,0.4641796965663252,,,-281344.2661843156,,-197625.23649343816,1.0,0.0,1.0,3,0.34,,,,7.2,4537401.749861535,180000.0,,54.525173451663406,2959.65626206636,2800.0,1
1982.0,1.0,,0.0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,1.0,0,,3.0,744.9981045713773,308.4,-17519639.686701372,50565.0,20.0,29760.0,0.0,0.0,0.0,0.0,-62650.93796931015,-2531594.6700343695,0.0,3.0,0.31,1.25,0.31,0.36,-40.31698132587637,0.77,0.6102334533509385,0.77,,,,1.0,1.0,1.0,0.0,7,-18490221.963020504,2.66,,,13.8,,461106.0,1537.02,250.40316464983806,4151.478564909379,2800.0,1
,13601.344904702966,0.0,0.0,0,0.0,0.0,0,,1.0,0.0,0.0,1.0,0.0,0,0.0,2.0,4693.927795773618,768.75,0.0,0.0,94.0,162810.0,16.0,27540.0,0.0,3360.0,-73352.44531348834,-120145.33952908032,0.0,3.0,0.24,1.25,,,67.76553888892549,,0.4942755548581195,0.9,,85422.0853510469,,1.0,1.0,0.0,0.0,9,0.28,2.1,,,12.3,5608349.491829581,,4472.1,170.27388839392398,268539740.1725095,2800.0,1
,215655.59130871444,0.0,0.0,1,11112.723888555083,0.0,0,0.0,0.0,0.0,,1.0,0.0,0,0.0,1.0,1477.6902629922802,0.0,0.0,0.0,44.0,52800.0,10.0,10000.0,0.0,0.0,-129792.54451971556,278070.2472645808,0.0,1.0,0.37,1.25,,0.43,,-157316.62774707907,0.5526755399815814,0.59,,,,,1.0,1.0,0.0,5,9965581.863516182,4.58,,,7.2,-1588610.0234154947,397200.0,1324.0,242.70373464579723,2170.077280658632,2800.0,1
1975.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,,0.0,0.0,1.0,0,0.0,-1785999.9847113865,2130.1072298189065,0.0,18.0,27225.0,28.0,33600.0,8.0,7680.0,0.0,0.0,,1464325.670924521,0.0,3.0,0.24,1.25,0.24,0.54,-70.54894198444242,-319837.5045298468,0.6008043202109292,0.99,,,,333731.57093566324,1.0,0.0,0.0,3,-5098307.189823612,9.0,,,1185.0,7331644.300536977,256035.0,2048.28,-14.183806239563154,,2800.0,1
1987.0,1.0,0.0,0.0,0,0.0,0.0,0,55780.79789331461,0.0,1.0,0.0,,0.0,0,,-894979.401259246,3861.2707346340303,,0.0,,38.0,47021714592.137405,0.0,0.0,0.0,0.0,2277.761650792032,-1201896.3214816193,0.0,4.0,0.24,1.25,0.24,0.51,90.51517569706176,,0.5541379585827828,1.05,,,,1.0,1.0,1.0,1.0,12,0.32,8.5,,,14.23,4631328.570649658,907560.0,3025.2,,,2800.0,1
2022.0,-82216.11447916254,0.0,0.0,0,0.0,0.0,0,0.0,,0.0,0.0,0.0,1.0,0,0.0,4.0,6510.161514463978,0.0,21.0,47408.0,50.0,123200.0,493078601.39235127,6720.0,72000.0,0.0,154860.11986661452,-627479.7677444951,0.0,4.0,0.24,1.25,0.24,0.52,89.41512724344919,0.6,0.9934037193079127,1.6,,,,1.0,1.0,2.0,11.0,3,1.49,5.9,,239479.51589386773,14.4,6873106.90534614,2006650.0,6980.0,-1.8286502382795788,-271673925.8873116,,1
