D_floorTAGround,D_Demand,D_MaxCl,D_NeutralDepth,D_sd1,D_td0,D_sds,D_patitionwall,D_nonstructure,D_Ty,D_windows,D_Tx,D_I,D_475Acc,D_basintype,D_CLlarge,D_CLsmall,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_Dbuild,D_Y3brickwall,D_StructureSystem_RC,D_Y4brickwall,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_isR
0.0,,0.05,6.5,0.6720954376940931,0.83,0.77,,1.0,21.154002364709413,1.0,,1.25,0.31,3.0,0.0,2.0,7.2,3338030.7554115904,371034.0,1352.01,102.09059569992414,4091.262826309636,2800.0,1974.0,,1.0,1591817.2175554233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2005.014917475521,0.0,,35.0,61250.0,4.0,4800.0,,,106125.6088017894,1
592.0,,,4.5,0.7919420004542213,,0.6,1.0,0.0,80.96512310810557,1.0,0.22,1.25,0.24,4.0,,2.0,11.2,,946279.5,,113.43062360486326,2848.7080907378463,2800.0,1890.0,,0.0,1201964.4878090946,,,0.0,,,0.0,0.0,,1.0,0.0,0.0,,0.0,1.0,2.0,3771.263538377112,0.0,,22.0,107360.0,0.0,,,,,0
0.0,,0.03,4.3,0.4911028624094229,0.59,0.92,,0.0,,,0.22,1.25,0.37,1.0,0.0,2.0,7.2,,,495.0,307.4378435157426,2624.785716094814,2800.0,1923.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1539.3998797311444,0.0,,16.0,,,,,,119734.64040366009,1
406.0,0.31,,7.0,0.6345712750292917,0.83,,1.0,2.0,61.90203391455446,1.0,0.43,1.25,0.31,3.0,0.0,6.0,15.9,,,3415.62,131.2297358008404,2972.4271603969983,2800.0,1958.0,,0.0,1493763.5375772608,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,3.0,3044.104540648017,8.0,,24.0,,3.0,9000.0,,,,1
,,,3.2,0.7784855973370782,,0.6,1.0,,44.11873904683025,,0.65,,,4.0,8.0,13.0,18.0,,718750.0,2875.0,4.474177942155563,4287.693873917548,2800.0,,,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,2377.411670231426,0.0,,24.0,,0.0,,,27960.0,127750.51212517609,1
241.11,0.24,,6.2,,1.6,0.6,1.0,,2.2990402270203605,,,1.25,0.24,4.0,4.0,3.0,14.4,3863316.076692014,349344.0,1164.48,412.97470696989296,2700.4497501990504,2800.0,1920.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.0,2299.455026898588,0.0,,14.0,33600.0,0.0,,,,,1
,0.24,,,,1.6,0.6,,1.0,91.7114686355232,1.0,0.41,1.25,0.24,4.0,,,,2822193.081864465,,1539.19,25.660071464264178,2704.140167609847,2800.0,1945.0,,1.0,3247103.9951559342,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1299.0221299134837,18.0,24384.0,,,,,,,,0
,0.35,,6.5,0.5526561280779768,0.65,0.88,1.0,,4.057112292592108,1.0,0.36,1.25,0.35,2.0,0.0,3.0,10.8,5199692.587957943,469680.0,2012.42,293.8167973245279,2678.36327105544,2800.0,1971.0,13750.0,1.0,2393672.289772468,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3187.255666398515,6.0,10050.0,10.0,,18.0,27000.0,,,25988.43537489313,1
,0.34,0.29,4.6,0.6654410122179627,0.79,0.85,1.0,,92.52010406291598,,0.52,1.25,0.34,3.0,0.0,5.0,,7153497.83639456,373650.0,2491.0,244.53912357821775,2796.0646128053527,2800.0,1959.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,4.0,2511.9464452378247,0.0,,,67600.0,6.0,8640.0,,,156129.59761445277,1
,0.35,,0.0,0.585333229743865,0.68,0.88,1.0,0.0,,,0.31,1.25,,2.0,0.0,1.0,7.2,1115255.040387053,123678.0,549.68,357.41749879796504,2765.6973588785136,2800.0,1985.0,,0.0,945754.7587936408,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,,0.0,,,21600.0,0.0,,,,80172.189572765,1
1.0,1.0,,,1.0193912187978384,,,1.0,1.0,17.136986775093774,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,5838825.001709297,,,68.84884575864751,,2700.0,1875.0,,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,,911.7753582980356,,,1.0,,1.0,,,,,0
,0.29,0.04,,0.5522252476951605,0.83,,,0.0,25.605937773262895,1.0,0.66,1.25,0.29,3.0,0.0,4.0,19.98,1120264.3166002275,480235.0,1970.39,196.98087171029096,4068.879548958759,2800.0,2011.0,,1.0,533909.2161622993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,3.0,2554.1876238672776,,,4.0,,4.0,9600.0,,,,1
0.0,0.39,0.0,,0.5582074911574622,0.66,0.98,0.0,0.0,47.05772501208574,1.0,0.69,1.25,0.39,1.0,0.0,0.0,16.2,,851200.0,3404.8,116.8067481258408,4006.788699046418,2800.0,,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,4.0,2541.653079316202,0.0,,40.0,,,,,,,0
